,Appliant_ID,default_status
0,Apcnt_1000032,0
1,Apcnt_1000048,0
2,Apcnt_1000052,0
3,Apcnt_1000076,1
4,Apcnt_1000080,0
5,Apcnt_1000084,0
6,Apcnt_1000104,0
7,Apcnt_1000116,1
8,Apcnt_1000128,0
9,Apcnt_1000156,0
10,Apcnt_1000192,0
11,Apcnt_1000208,0
12,Apcnt_1000264,1
13,Apcnt_1000288,0
14,Apcnt_1000292,0
15,Apcnt_1000328,1
16,Apcnt_1000336,0
17,Apcnt_1000356,0
18,Apcnt_1000368,0
19,Apcnt_1000372,1
20,Apcnt_1000392,0
21,Apcnt_1000396,0
22,Apcnt_1000400,0
23,Apcnt_1000416,0
24,Apcnt_1000428,0
25,Apcnt_1000440,0
26,Apcnt_1000456,0
27,Apcnt_1000472,0
28,Apcnt_1000488,0
29,Apcnt_1000492,0
30,Apcnt_1000504,1
31,Apcnt_1000516,0
32,Apcnt_1000532,0
33,Apcnt_1000552,0
34,Apcnt_1000564,0
35,Apcnt_1000576,1
36,Apcnt_1000596,0
37,Apcnt_1000620,0
38,Apcnt_1000624,0
39,Apcnt_1000636,0
40,Apcnt_1000648,0
41,Apcnt_1000668,0
42,Apcnt_1000680,0
43,Apcnt_1000696,0
44,Apcnt_1000704,0
45,Apcnt_1000724,0
46,Apcnt_1000740,0
47,Apcnt_1000744,0
48,Apcnt_1000756,0
49,Apcnt_1000768,0
50,Apcnt_1000784,0
51,Apcnt_1000796,0
52,Apcnt_1000808,0
53,Apcnt_1000816,0
54,Apcnt_1000820,0
55,Apcnt_1000824,0
56,Apcnt_1000856,0
57,Apcnt_1000872,1
58,Apcnt_1000880,0
59,Apcnt_1000904,0
60,Apcnt_1000912,1
61,Apcnt_1000920,1
62,Apcnt_1000952,0
63,Apcnt_1000960,0
64,Apcnt_1000964,0
65,Apcnt_1000968,0
66,Apcnt_1000976,1
67,Apcnt_1000984,1
68,Apcnt_1000992,0
69,Apcnt_1000996,1
70,Apcnt_1001000,0
71,Apcnt_1001008,0
72,Apcnt_1001028,0
73,Apcnt_1001032,1
74,Apcnt_1001036,1
75,Apcnt_1001040,1
76,Apcnt_1001048,1
77,Apcnt_1001052,0
78,Apcnt_1001068,1
79,Apcnt_1001076,0
80,Apcnt_1001080,0
81,Apcnt_1001092,0
82,Apcnt_1001120,1
83,Apcnt_1001144,1
84,Apcnt_1001148,0
85,Apcnt_1001168,0
86,Apcnt_1001176,1
87,Apcnt_1001200,0
88,Apcnt_1001224,0
89,Apcnt_1001228,0
90,Apcnt_1001236,0
91,Apcnt_1001244,0
92,Apcnt_1001248,0
93,Apcnt_1001256,0
94,Apcnt_1001260,0
95,Apcnt_1001264,0
96,Apcnt_1001288,0
97,Apcnt_1001292,0
98,Apcnt_1001296,0
99,Apcnt_1001304,0
100,Apcnt_1001308,0
101,Apcnt_1001316,0
102,Apcnt_1001320,0
103,Apcnt_1001352,0
104,Apcnt_1001360,0
105,Apcnt_1001376,1
106,Apcnt_1001384,0
107,Apcnt_1001388,0
108,Apcnt_1001400,1
109,Apcnt_1001416,1
110,Apcnt_1001436,1
111,Apcnt_1001452,0
112,Apcnt_1001456,0
113,Apcnt_1001468,1
114,Apcnt_1001480,0
115,Apcnt_1001488,0
116,Apcnt_1001508,0
117,Apcnt_1001512,0
118,Apcnt_1001516,0
119,Apcnt_1001528,0
120,Apcnt_1001532,0
121,Apcnt_1001548,0
122,Apcnt_1001552,0
123,Apcnt_1001572,0
124,Apcnt_1001580,0
125,Apcnt_1001584,0
126,Apcnt_1001624,0
127,Apcnt_1001632,0
128,Apcnt_1001668,0
129,Apcnt_1001692,0
130,Apcnt_1001700,0
131,Apcnt_1001708,0
132,Apcnt_1001716,0
133,Apcnt_1001732,0
134,Apcnt_1001752,0
135,Apcnt_1001760,0
136,Apcnt_1001764,0
137,Apcnt_1001776,0
138,Apcnt_1001780,0
139,Apcnt_1001788,1
140,Apcnt_1001792,0
141,Apcnt_1001800,0
142,Apcnt_1001820,0
143,Apcnt_1001828,1
144,Apcnt_1001836,0
145,Apcnt_1001844,0
146,Apcnt_1001848,0
147,Apcnt_1001860,0
148,Apcnt_1001880,0
149,Apcnt_1001888,0
150,Apcnt_1001900,0
151,Apcnt_1001908,1
152,Apcnt_1001936,0
153,Apcnt_1001940,0
154,Apcnt_1001960,0
155,Apcnt_1001988,1
156,Apcnt_1002000,0
157,Apcnt_1002020,0
158,Apcnt_1002024,1
159,Apcnt_1002028,0
160,Apcnt_1002032,0
161,Apcnt_1002044,0
162,Apcnt_1002052,0
163,Apcnt_1002056,0
164,Apcnt_1002080,0
165,Apcnt_1002084,0
166,Apcnt_1002096,0
167,Apcnt_1002112,0
168,Apcnt_1002124,0
169,Apcnt_1002140,0
170,Apcnt_1002152,0
171,Apcnt_1002156,0
172,Apcnt_1002168,0
173,Apcnt_1002176,1
174,Apcnt_1002200,0
175,Apcnt_1002228,0
176,Apcnt_1002252,0
177,Apcnt_1002268,1
178,Apcnt_1002272,0
179,Apcnt_1002276,1
180,Apcnt_1002288,0
181,Apcnt_1002304,1
182,Apcnt_1002312,0
183,Apcnt_1002320,0
184,Apcnt_1002324,0
185,Apcnt_1002336,0
186,Apcnt_1002368,0
187,Apcnt_1002384,0
188,Apcnt_1002388,0
189,Apcnt_1002400,0
190,Apcnt_1002404,0
191,Apcnt_1002412,1
192,Apcnt_1002420,0
193,Apcnt_1002424,0
194,Apcnt_1002432,0
195,Apcnt_1002444,0
196,Apcnt_1002456,0
197,Apcnt_1002468,0
198,Apcnt_1002472,0
199,Apcnt_1002484,0
200,Apcnt_1002536,0
201,Apcnt_1002568,0
202,Apcnt_1002576,0
203,Apcnt_1002580,0
204,Apcnt_1002604,0
205,Apcnt_1002612,1
206,Apcnt_1002616,0
207,Apcnt_1002624,0
208,Apcnt_1002632,0
209,Apcnt_1002636,1
210,Apcnt_1002644,0
211,Apcnt_1002656,0
212,Apcnt_1002672,1
213,Apcnt_1002680,0
214,Apcnt_1002700,0
215,Apcnt_1002736,1
216,Apcnt_1002756,0
217,Apcnt_1002760,0
218,Apcnt_1002768,0
219,Apcnt_1002780,1
220,Apcnt_1002784,0
221,Apcnt_1002788,0
222,Apcnt_1002796,0
223,Apcnt_1002800,0
224,Apcnt_1002808,0
225,Apcnt_1002812,0
226,Apcnt_1002832,1
227,Apcnt_1002848,0
228,Apcnt_1002852,0
229,Apcnt_1002860,1
230,Apcnt_1002868,0
231,Apcnt_1002872,1
232,Apcnt_1002888,1
233,Apcnt_1002892,0
234,Apcnt_1002896,1
235,Apcnt_1002912,0
236,Apcnt_1002932,0
237,Apcnt_1002936,0
238,Apcnt_1002980,0
239,Apcnt_1002992,0
240,Apcnt_1003000,0
241,Apcnt_1003028,0
242,Apcnt_1003036,0
243,Apcnt_1003040,0
244,Apcnt_1003048,1
245,Apcnt_1003076,1
246,Apcnt_1003080,1
247,Apcnt_1003100,0
248,Apcnt_1003148,0
249,Apcnt_1003152,0
250,Apcnt_1003180,0
251,Apcnt_1003200,0
252,Apcnt_1003208,1
253,Apcnt_1003216,0
254,Apcnt_1003224,0
255,Apcnt_1003228,0
256,Apcnt_1003232,0
257,Apcnt_1003236,0
258,Apcnt_1003276,0
259,Apcnt_1003280,0
260,Apcnt_1003308,0
261,Apcnt_1003312,0
262,Apcnt_1003324,0
263,Apcnt_1003340,0
264,Apcnt_1003356,0
265,Apcnt_1003384,0
266,Apcnt_1003400,0
267,Apcnt_1003412,1
268,Apcnt_1003424,0
269,Apcnt_1003428,0
270,Apcnt_1003452,0
271,Apcnt_1003456,0
272,Apcnt_1003460,0
273,Apcnt_1003484,0
